site_id,date,flow_cfs,qualifiers
06447000,2024-01-31,261.0,A:e
06447000,2024-02-01,465.0,A:e
06447000,2024-02-02,591.0,A:e
06447000,2024-02-03,485.0,A:e
06447000,2024-02-04,426.0,A:e
06447000,2024-02-05,428.0,A:e
06447000,2024-02-06,449.0,A:e
06447000,2024-02-07,488.0,A:e
06447000,2024-02-08,489.0,A:e
06447000,2024-02-09,440.0,A:e
06447000,2024-02-10,378.0,A:e
06447000,2024-02-11,300.0,A:e
06447000,2024-02-12,266.0,A:e
06447000,2024-02-13,250.0,A:e
06447000,2024-02-14,236.0,A:e
06447000,2024-02-15,222.0,A:e
06447000,2024-02-16,202.0,A:e
06447000,2024-02-17,196.0,A:e
06447000,2024-02-18,208.0,A:e
06447000,2024-02-19,242.0,A:e
06447000,2024-02-20,274.0,A:e
06447000,2024-02-21,369.0,A:e
06447000,2024-02-22,487.0,A:e
06447000,2024-02-23,439.0,A:e
06447000,2024-02-24,318.0,A:e
06447000,2024-02-25,251.0,A:e
06447000,2024-02-26,233.0,A:e
06447000,2024-02-27,230.0,A:e
06447000,2024-02-28,229.0,A:e
06447000,2024-02-29,202.0,A:e
06447000,2024-03-01,204.0,A:e
06447000,2024-03-02,198.0,A:e
06447000,2024-03-03,184.0,A:e
06447000,2024-03-04,180.0,A:e
06447000,2024-03-05,193.0,A
06447000,2024-03-06,174.0,A
06447000,2024-03-07,168.0,A
06447000,2024-03-08,159.0,A
06447000,2024-03-09,148.0,A
06447000,2024-03-10,141.0,A
06447000,2024-03-11,137.0,A:e
06447000,2024-03-12,131.0,A
06447000,2024-03-13,127.0,A
06447000,2024-03-14,121.0,A
06447000,2024-03-15,124.0,A
06447000,2024-03-16,120.0,A:e
06447000,2024-03-17,117.0,A
06447000,2024-03-18,118.0,A
06447000,2024-03-19,119.0,A
06447000,2024-03-20,114.0,A:e
06447000,2024-03-21,113.0,A
06447000,2024-03-22,107.0,A
06447000,2024-03-23,95.4,A
06447000,2024-03-24,106.0,A:e
06447000,2024-03-25,64.6,A:e
06447000,2024-03-26,79.6,A:e
06447000,2024-03-27,101.0,A:e
06447000,2024-03-28,171.0,A:e
06447000,2024-03-29,238.0,A
06447000,2024-03-30,169.0,A:e
06447000,2024-03-31,137.0,A:e
06447000,2024-04-01,168.0,A
06447000,2024-04-02,287.0,A
06447000,2024-04-03,1170.0,A
06447000,2024-04-04,1760.0,A
06447000,2024-04-05,929.0,A
06447000,2024-04-06,462.0,A:e
06447000,2024-04-07,590.0,A:e
06447000,2024-04-08,4280.0,A
06447000,2024-04-09,2500.0,A
06447000,2024-04-10,1360.0,A
06447000,2024-04-11,1370.0,A
06447000,2024-04-12,1250.0,A
06447000,2024-04-13,907.0,A
06447000,2024-04-14,806.0,A
06447000,2024-04-15,728.0,A:e
06447000,2024-04-16,708.0,A:e
06447000,2024-04-17,514.0,A
06447000,2024-04-18,325.0,A
06447000,2024-04-19,252.0,A
06447000,2024-04-20,218.0,A
06447000,2024-04-21,196.0,A
06447000,2024-04-22,177.0,A
06447000,2024-04-23,161.0,A
06447000,2024-04-24,137.0,A
06447000,2024-04-25,143.0,A
06447000,2024-04-26,780.0,A
06447000,2024-04-27,895.0,A
06447000,2024-04-28,746.0,A
06447000,2024-04-29,877.0,A
06447000,2024-04-30,501.0,A:e
06447000,2024-05-01,373.0,A
06447000,2024-05-02,286.0,A:e
06447000,2024-05-03,269.0,A
06447000,2024-05-04,437.0,A
06447000,2024-05-05,315.0,A
06447000,2024-05-06,258.0,A
06447000,2024-05-07,207.0,A:e
06447000,2024-05-08,228.0,A
06447000,2024-05-09,212.0,A
06447000,2024-05-10,215.0,A
06447000,2024-05-11,382.0,A
06447000,2024-05-12,440.0,A
06447000,2024-05-13,273.0,A
06447000,2024-05-14,219.0,A
06447000,2024-05-15,206.0,A
06447000,2024-05-16,186.0,A
06447000,2024-05-17,201.0,A
06447000,2024-05-18,298.0,A
06447000,2024-05-19,250.0,A
06447000,2024-05-20,188.0,A
06447000,2024-05-21,265.0,A
06447000,2024-05-22,578.0,A
06447000,2024-05-23,574.0,A
06447000,2024-05-24,426.0,A
06447000,2024-05-25,283.0,A
06447000,2024-05-26,207.0,A:e
06447000,2024-05-27,903.0,A
06447000,2024-05-28,426.0,A
06447000,2024-05-29,339.0,A:e
06447000,2024-05-30,226.0,A
06447000,2024-05-31,177.0,A
06447000,2024-06-01,161.0,A
06447000,2024-06-02,283.0,A
06447000,2024-06-03,331.0,A:e
06447000,2024-06-04,222.0,A
06447000,2024-06-05,150.0,A:e
06447000,2024-06-06,134.0,A
06447000,2024-06-07,124.0,A:e
06447000,2024-06-08,113.0,A:e
06447000,2024-06-09,100.0,A
06447000,2024-06-10,92.1,A
06447000,2024-06-11,104.0,A:e
06447000,2024-06-12,88.3,A:e
06447000,2024-06-13,80.6,A:e
06447000,2024-06-14,110.0,A:e
06447000,2024-06-15,195.0,A
06447000,2024-06-16,180.0,A
06447000,2024-06-17,333.0,A
06447000,2024-06-18,142.0,A:e
06447000,2024-06-19,103.0,A:e
06447000,2024-06-20,102.0,A:e
06447000,2024-06-21,105.0,A
06447000,2024-06-22,115.0,A
06447000,2024-06-23,122.0,A
06447000,2024-06-24,108.0,A
06447000,2024-06-25,97.3,A:e
06447000,2024-06-26,165.0,A
06447000,2024-06-27,410.0,A
06447000,2024-06-28,188.0,A
06447000,2024-06-29,133.0,A:e
06447000,2024-06-30,101.0,A:e
06447000,2024-07-01,87.0,A
06447000,2024-07-02,164.0,A
06447000,2024-07-03,127.0,A
06447000,2024-07-04,163.0,A:e
06447000,2024-07-05,935.0,A
06447000,2024-07-06,526.0,A
06447000,2024-07-07,183.0,A:e
06447000,2024-07-08,96.7,A:e
06447000,2024-07-09,75.9,A:e
06447000,2024-07-10,69.9,A:e
06447000,2024-07-11,52.3,A:e
06447000,2024-07-12,41.0,A:e
06447000,2024-07-13,32.6,A:e
06447000,2024-07-14,29.5,A:e
06447000,2024-07-15,28.1,A:e
06447000,2024-07-16,24.5,A:e
06447000,2024-07-17,21.3,A:e
06447000,2024-07-18,20.9,A:e
06447000,2024-07-19,20.7,A:e
06447000,2024-07-20,21.1,A:e
06447000,2024-07-21,19.5,A:e
06447000,2024-07-22,16.7,A:e
06447000,2024-07-23,16.8,A:e
06447000,2024-07-24,17.8,A:e
06447000,2024-07-25,16.2,A:e
06447000,2024-07-26,18.2,A:e
06447000,2024-07-27,14.4,A:e
06447000,2024-07-28,12.3,A:e
06447000,2024-07-29,11.2,A:e
06447000,2024-07-30,10.7,A:e
06447000,2024-07-31,13.8,A:e
06447000,2024-08-01,59.8,A:e
06447000,2024-08-02,34.0,A:e
06447000,2024-08-03,11.9,A:e
06447000,2024-08-04,8.62,A:e
06447000,2024-08-05,7.55,A:e
06447000,2024-08-06,7.02,A:e
06447000,2024-08-07,6.61,A:e
06447000,2024-08-08,6.44,A
06447000,2024-08-09,5.88,A
06447000,2024-08-10,5.59,A
06447000,2024-08-11,5.54,A
06447000,2024-08-12,5.64,A
06447000,2024-08-13,81.7,A
06447000,2024-08-14,140.0,A
06447000,2024-08-15,58.8,A
06447000,2024-08-16,34.1,A
06447000,2024-08-17,38.7,A
06447000,2024-08-18,55.6,A
06447000,2024-08-19,31.2,A
06447000,2024-08-20,22.0,A
06447000,2024-08-21,16.4,A
06447000,2024-08-22,12.6,A
06447000,2024-08-23,11.8,A
06447000,2024-08-24,11.1,A:e
06447000,2024-08-25,9.06,A:e
06447000,2024-08-26,10.3,A:e
06447000,2024-08-27,102.0,A:e
06447000,2024-08-28,174.0,A
06447000,2024-08-29,402.0,A
06447000,2024-08-30,149.0,A
06447000,2024-08-31,63.1,A
06447000,2024-09-01,32.4,A
06447000,2024-09-02,21.7,A
06447000,2024-09-03,12.2,A
06447000,2024-09-04,7.08,A
06447000,2024-09-05,4.89,A
06447000,2024-09-06,3.27,A
06447000,2024-09-07,2.36,A
06447000,2024-09-08,1.85,A
06447000,2024-09-09,1.44,A
06447000,2024-09-10,1.18,A
06447000,2024-09-11,0.89,A
06447000,2024-09-12,0.61,A
06447000,2024-09-13,0.21,A
06447000,2024-09-14,5.75,A
06447000,2024-09-15,86.4,A
06447000,2024-09-16,87.2,A
06447000,2024-09-17,45.1,A
06447000,2024-09-18,12.5,A
06447000,2024-09-19,7.37,A
06447000,2024-09-20,6.94,A
06447000,2024-09-21,7.12,A
